ردیف,نام فارسی,برچسب موجود در CRM,نام انگلیسی / LogicalName,نوع فیلد انگلیسی,نوع فیلد فارسی,قابل خواندن,وضعیت نام فارسی
309,برچسب فارسی در CRM ثبت نشده,Social Profile,socialprofileid,Lookup,ارتباط با رکورد دیگر,بله,نیازمند تعیین برچسب توسط مالک CRM
310,شرح مسئله,Description,description,Memo,متن بلند,بله,ترجمه کنترل‌شده
311,برچسب فارسی در CRM ثبت نشده,Master Case,masterid,Lookup,ارتباط با رکورد دیگر,بله,نیازمند تعیین برچسب توسط مالک CRM
312,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_developrejectreasonname,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
313,برچسب فارسی در CRM ثبت نشده,Service Stage,servicestage,Picklist,انتخابی,بله,نیازمند تعیین برچسب توسط مالک CRM
314,برچسب فارسی در CRM ثبت نشده,Execution Risk,brd_executionrisk,Picklist,انتخابی,بله,نیازمند تعیین برچسب توسط مالک CRM
315,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_plantypename,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
316,برچسب فارسی در CRM ثبت نشده,Received As,messagetypecode,Picklist,انتخابی,بله,نیازمند تعیین برچسب توسط مالک CRM
317,برچسب فارسی در CRM ثبت نشده,Created By (Delegate),createdonbehalfby,Lookup,ارتباط با رکورد دیگر,بله,نیازمند تعیین برچسب توسط مالک CRM
318,برچسب فارسی در CRM ثبت نشده,Import Sequence Number,importsequencenumber,Integer,عدد صحیح,بله,نیازمند تعیین برچسب توسط مالک CRM
319,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_hasreleasenotename,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
320,برچسب فارسی در CRM ثبت نشده,Related Case Count (State),brd_relatedcasecount_state,Integer,عدد صحیح,بله,نیازمند تعیین برچسب توسط مالک CRM
321,برچسب فارسی در CRM ثبت نشده,SLA,slaid,Lookup,ارتباط با رکورد دیگر,بله,نیازمند تعیین برچسب توسط مالک CRM
322,برچسب فارسی در CRM ثبت نشده,Opportunity,brd_opportunity,Lookup,ارتباط با رکورد دیگر,بله,نیازمند تعیین برچسب توسط مالک CRM
323,برچسب فارسی در CRM ثبت نشده,Number,brd_number,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
324,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_mainrootcausename,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
325,برچسب فارسی در CRM ثبت نشده,Time Zone Rule Version Number,timezoneruleversionnumber,Integer,عدد صحیح,بله,نیازمند تعیین برچسب توسط مالک CRM
326,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_employeebacklogtypename,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
327,برچسب فارسی در CRM ثبت نشده,CompletedWork,brd_completedwork,Decimal,عدد اعشاری,بله,نیازمند تعیین برچسب توسط مالک CRM
328,برچسب فارسی در CRM ثبت نشده,TFS State,brd_tfsstate,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
329,برچسب فارسی در CRM ثبت نشده,Backlog Reason,brd_backlogreason,Picklist,انتخابی,بله,نیازمند تعیین برچسب توسط مالک CRM
330,برچسب فارسی در CRM ثبت نشده,Service Level,contractservicelevelcode,Picklist,انتخابی,بله,نیازمند تعیین برچسب توسط مالک CRM
331,برچسب فارسی در CRM ثبت نشده,BacklogDate,brd_backlogdate,DateTime,تاریخ و زمان,بله,نیازمند تعیین برچسب توسط مالک CRM
332,برچسب فارسی در CRM ثبت نشده,ثبت نشده,responsiblecontactidname,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
333,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_pargarmodulename,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
